,Bigram Frequency,Bigram Average Frequency,Bigram Frequency with Position,Bigram Average Frequency with Position,Bigram Independent Probabilities,Mean Edit Distance,Transition Probability,Average Transition Probability,Transition Log Probability
143,2110.0,301.42857142857144,416,59.42857142857143,3.169130578081785e-20,7.2146,9.710414115519998e-13,0.04626458161390409,39.905532410634045
144,1615.0,403.75,291,72.75,1.0726217785710177e-10,5.5876,2.0268401078201525e-08,0.05221595774950797,25.556192476289848
145,1586.0,396.5,362,90.5,1.1119686276072548e-10,5.6994,2.3621651273246005e-07,0.07862337979265639,22.01338684424978
146,4067.0,451.8888888888889,368,40.888888888888886,5.796110376748325e-23,8.5148,1.0546202657464358e-13,0.06611217799697788,43.10834160838752
147,2987.0,426.7142857142857,837,119.57142857142857,1.6579444804178658e-17,6.7181,1.2251226775430796e-10,0.07919296801598807,32.926354728281304
148,2430.0,607.5,391,97.75,1.0355031481274657e-09,5.4287,5.104101209770479e-07,0.08939636902127862,20.901839727470378
149,2462.0,615.5,171,42.75,1.4871671626624958e-09,5.7179,3.243435457070306e-08,0.05647213537948181,24.877902028989606
150,845.0,281.6666666666667,83,27.666666666666668,9.973803475590305e-09,5.4935,2.842313494909136e-07,0.04906077398885078,21.746430977819546
151,2295.0,573.75,265,66.25,3.3169071544879113e-10,5.8518,4.03077118391162e-08,0.0585550951265728,24.564368871520323
152,1434.0,286.8,244,48.8,3.257148603947033e-13,5.913,1.2039124483129375e-08,0.07390203798041517,26.30769427977325
153,2796.0,559.2,455,91.0,4.5280078213017257e-13,6.1217,4.973802241794504e-08,0.09050441961319552,24.261075611908804
154,3512.0,439.0,576,72.0,7.371415190359667e-20,7.7279,2.6008320696685865e-11,0.08739995945425236,35.162235793298876
155,3030.0,606.0,783,156.6,1.0170645214414305e-11,5.5722,1.2130205046257513e-07,0.10279717105119988,22.974892726554547
156,2278.0,455.6,497,99.4,1.5075709755930331e-12,5.9492,4.94535984688185e-09,0.06508139339393462,27.59127735212753
157,2403.0,480.6,287,57.4,5.453383886886461e-13,5.8148,3.490679499683298e-09,0.06192190121441724,28.093844953539023
158,604.0,201.33333333333334,163,54.333333333333336,5.238769307462066e-09,5.6205,3.4640642649115814e-07,0.05104076654003302,21.46103096919043
